#https://public.tableau.com/views/COVID-19PublicDashboard/Covid-19Hospitals?%3Aembed=y&%3Adisplay_count=no&%3AshowVizHome=no
date,positive-patients,suspected-patients,positive-icu,suspected-icu,
2020-04-01,2,12,2,2
2020-04-02,4,4,3,0
2020-04-03,4,18,3,2
2020-04-04,4,6,3,0
2020-04-05,5,12,4,4
2020-04-06,5,9,4,2
2020-04-07,4,4,4,3
2020-04-08,4,9,3,4
2020-04-09,4,14,2,5
2020-04-10,4,11,3,5
2020-04-11,4,14,3,6
2020-04-12,4,15,3,6
2020-04-13,4,8,3,2
2020-04-14,4,4,3,0
2020-04-15,4,2,3,2
2020-04-16,4,3,3,1
2020-04-17,2,3,1,2
2020-04-18,2,2,1,1
2020-04-19,2,3,1,0
2020-04-20,3,1,1,0
2020-04-21,3,2,1,0
2020-04-22,3,4,1,1
2020-04-23,3,3,1,0
2020-04-24,4,1,2,0
2020-04-25,4,4,2,3
2020-04-26,4,1,2,0
2020-04-27,2,1,1,0
2020-04-28,2,0,1,0
2020-04-29,2,0,1,0
2020-04-30,3,0,2,0
2020-05-01,3,1,2,0
2020-05-02,3,0,1,0
2020-05-03,3,0,1,0
2020-05-04,3,0,0,0
2020-05-05,2,1,0,1
2020-05-06,2,1,0,1
2020-05-07,3,1,0,0
2020-05-08,4,0,0,0
2020-05-09,3,0,0,0
2020-05-10,3,0,0,0
2020-05-11,1,0,0,0
2020-05-12,1,0,0,0
2020-05-13,1,0,0,0
2020-05-14,1,0,0,0
2020-05-15,1,0,0,0
2020-05-16,1,0,0,0
2020-05-17,1,0,0,0
2020-05-18,2,0,0,0
2020-05-19,1,0,0,0
2020-05-20,3,0,0,0
2020-05-21,4,1,1,0
2020-05-22,4,1,1,0
2020-05-23,4,1,1,0
2020-05-24,4,1,1,0
2020-05-25,4,3,1,0
2020-05-26,4,1,1,0
2020-05-27,3,0,1,0
2020-05-28,3,0,1,0
2020-05-29,3,9,1,0
2020-05-30,3,9,1,0
2020-05-31,3,10,1,0
2020-06-01,3,1,2,1
2020-06-02,2,3,1,0
2020-06-03,2,1,1,0
2020-06-04,2,3,1,0
2020-06-05,2,3,1,0
2020-06-06,1,3,1,0
2020-06-07,1,3,1,0
2020-06-08,1,1,0,0
2020-06-09,1,3,0,0
2020-06-10,3,3,0,0
2020-06-11,4,2,0,0
2020-06-12,4,6,0,0
2020-06-13,4,5,0,0
2020-06-14,3,6,0,0
2020-06-15,2,3,0,0
2020-06-16,3,1,0,0
2020-06-17,3,4,0,3
2020-06-18,2,2,1,0
2020-06-19,4,4,1,2
2020-06-20,4,3,2,0
2020-06-21,5,4,2,0
2020-06-22,6,4,2,0
2020-06-23,6,3,1,0
2020-06-24,6,3,1,0
2020-06-25,6,7,1,1
2020-06-26,8,6,1,0
2020-06-27,9,6,1,0
2020-06-28,9,10,0,0
2020-06-29,10,6,1,0
2020-06-30,10,6,1,0
2020-07-01,10,0,1,0
2020-07-02,10,3,3,0
2020-07-03,11,6,3,0
2020-07-04,10,5,2,0
2020-07-05,10,9,2,0
2020-07-06,11,2,2,0
2020-07-07,13,3,3,0
2020-07-08,13,5,3,0
2020-07-09,13,3,3,0
2020-07-10,13,4,3,0
2020-07-11,13,4,3,0
2020-07-12,12,5,2,0
2020-07-13,16,4,2,0
2020-07-14,14,6,3,0
2020-07-15,12,1,2,0
2020-07-16,11,1,2,0
2020-07-17,11,10,2,1
2020-07-18,11,9,2,1
2020-07-19,12,10,3,3
2020-07-20,12,8,4,0
2020-07-21,19,14,5,1
2020-07-22,7,7,4,0
2020-07-23,17,20,4,1
2020-07-24,18,21,5,1
2020-07-25,17,22,4,2
2020-07-26,14,19,4,3
2020-07-27,14,19,4,1
2020-07-28,10,9,5,1
2020-07-29,14,8,5,1
2020-07-30,15,12,4,0
2020-07-31,12,9,3,0
2020-08-01,12,9,3,0
2020-08-02,12,9,3,0
2020-08-03,15,11,3,3
2020-08-04,12,9,6,1
2020-08-05,12,6,3,0
2020-08-06,12,13,3,2
2020-08-07,13,5,4,0
2020-08-08,13,7,3,0
2020-08-09,13,10,4,2
2020-08-10,14,7,5,1
2020-08-11,13,8,5,0
2020-08-12,12,12,3,1
2020-08-13,11,12,2,1
2020-08-14,9,12,2,0
2020-08-15,9,9,3,0
2020-08-16,10,12,3,1
2020-08-17,12,15,3,1
2020-08-18,10,10,2,0
2020-08-19,12,13,2,0
2020-08-20,12,6,1,1
2020-08-21,11,7,1,3
2020-08-22,11,3,1,0
2020-08-23,11,2,1,1
2020-08-24,11,10,1,1
2020-08-25,8,9,1,0
2020-08-26,8,10,1,1
2020-08-27,7,8,1,1
2020-08-28,9,6,1,1
2020-08-29,8,9,1,1
2020-08-30,8,6,2,0
2020-08-31,9,4,2,0
